seq1312	seq1312
seq1696	seq1696
seq1696	seq1665
seq1696	seq1666
seq1696	seq1712
seq1696	seq1713
seq1696	seq1726
seq1696	seq1695
seq1696	seq1727
seq2592	seq2592
seq2592	seq96046
seq2592	seq2801
seq2592	seq2802
seq2624	seq2624
seq2624	seq2863
seq2624	seq2864
seq2624	seq2588
seq2624	seq2589
seq2624	seq2782
seq2624	seq2623
seq2624	seq2783
seq2624	seq53984
seq2624	seq54099
seq2624	seq54100
seq2624	seq53983
seq2752	seq2752
seq2752	seq2566
seq2752	seq3002
seq2752	seq2684
seq2752	seq159521
seq2752	seq133186
seq2752	seq122724
seq2752	seq85450
seq2752	seq135213
seq2752	seq159597
seq2752	seq20975
seq2752	seq92979
seq2752	seq184084
seq2752	seq85593
seq2752	seq2810
seq2752	seq122812
seq2752	seq142589
seq2752	seq186399
seq3424	seq3424
seq3424	seq3444
seq3488	seq3488
seq3488	seq3592
seq3616	seq3616
seq3616	seq3617
seq3616	seq3554
seq3616	seq3683
seq3616	seq3684
seq3616	seq3589
seq3616	seq3590
seq3616	seq3531
seq3616	seq3668
seq3616	seq3765
seq3616	seq3797
seq3616	seq3766
seq3616	seq3798
seq3616	seq3580
seq3616	seq3581
seq3616	seq79684
seq3616	seq79466
seq3616	seq79467
seq3616	seq21644
seq3616	seq79436
seq3616	seq79456
seq3616	seq79457
seq3616	seq79653
seq3616	seq79685
seq3616	seq21830
seq3616	seq79398
seq3616	seq79654
seq3616	seq79399
seq3616	seq79495
seq3616	seq79559
seq3616	seq79496
seq3616	seq79560
seq3616	seq79497
seq3616	seq79498
seq3616	seq79530
seq3616	seq21643
seq3616	seq79531
seq3616	seq79596
seq3616	seq79597
seq3616	seq79410
seq3616	seq79411
seq3616	seq79475
seq3616	seq21780
seq3616	seq79418
seq3616	seq79419
seq3616	seq79548
seq3616	seq79549
seq3616	seq79647
seq4032	seq4032
seq4032	seq4016
seq4448	seq4448
seq4448	seq164062
seq4448	seq4447
seq4448	seq164063
seq5056	seq5056
seq5056	seq48971
seq5056	seq217871
seq5056	seq217935
seq5056	seq5057
seq5056	seq48972
seq5056	seq217870
seq5056	seq5167
seq5056	seq217936
seq5056	seq217912
seq5056	seq48985
seq5056	seq217913
seq5056	seq218042
seq5056	seq218043
seq5248	seq5248
seq5248	seq5285
seq5248	seq5332
seq5248	seq209350
seq5248	seq209317
seq5664	seq5664
seq5664	seq5920
seq5664	seq5665
seq5664	seq114082
seq5664	seq114083
seq5664	seq17979
seq5664	seq17978
seq5984	seq5984
seq6272	seq6272
seq6432	seq6432
seq6432	seq6433
seq6432	seq6753
seq6432	seq6754
seq6432	seq6732
seq6432	seq6733
seq6432	seq6514
seq6432	seq6515
seq6432	seq6647
seq6432	seq6648
seq6528	seq6528
seq6528	seq177094
seq7168	seq7168
seq7232	seq7232
seq7232	seq52937
seq7232	seq160169
seq7232	seq7118
seq7232	seq160206
seq7232	seq7055
seq7232	seq160145
seq7232	seq101556
seq7232	seq184085
seq7232	seq141727
seq7264	seq7264
seq7264	seq7333
seq7264	seq7211
seq7680	seq7680
seq7776	seq7776
seq7776	seq7714
seq7776	seq7734
seq7776	seq7775
seq7776	seq13781
seq7776	seq74156
seq7776	seq13782
seq7776	seq13783
seq7776	seq13784
seq7840	seq7840
seq7840	seq212612
seq7840	seq212613
seq7840	seq152569
seq7840	seq152570
seq7840	seq186042
seq7840	seq186043
seq7840	seq7839
seq8032	seq8032
seq8032	seq190560
seq8032	seq8135
seq8032	seq190600
seq8032	seq7978
seq8032	seq190442
seq8032	seq190478
seq8032	seq8143
seq8032	seq7889
seq8032	seq8022
seq8032	seq7902
seq8160	seq8160
seq8160	seq7857
seq8160	seq75008
seq8160	seq75014
seq8160	seq7991
seq8288	seq8288
seq8288	seq8427
seq8288	seq8303
seq8288	seq8335
seq8288	seq8336
seq8288	seq8407
seq8288	seq8314
seq8288	seq8251
seq8288	seq8252
seq8288	seq8287
seq8480	seq8480
seq8480	seq8459
seq8480	seq8455
seq8480	seq8477
seq8480	seq12281
seq8480	seq105187
seq8480	seq26542
seq8480	seq112287
seq8480	seq112129
seq8480	seq13128
seq8480	seq112461
seq8480	seq112240
seq8480	seq84402
seq8480	seq190420
seq8480	seq63707
seq8480	seq115451
seq8480	seq183122
seq8480	seq13121
seq8480	seq183085
seq8480	seq13136
seq8480	seq13211
seq8480	seq183160
seq8480	seq183200
seq8480	seq156767
seq8480	seq90674
seq8480	seq12870
seq8480	seq63815
seq8480	seq156679
seq8480	seq13355
seq8480	seq11278
seq8480	seq112244
seq8480	seq115478
seq8480	seq9015
seq8480	seq63770
seq8480	seq12764
seq8480	seq156733
seq8480	seq6910
seq8480	seq142732
seq8480	seq142713
seq8832	seq8832
seq8832	seq8672
seq8832	seq8673
seq8832	seq8794
seq8832	seq8831
seq8832	seq138676
seq8832	seq138675
seq8832	seq33380
seq8832	seq33408
seq8832	seq33409
seq8832	seq33381
seq8832	seq33321
seq8832	seq33429
seq8832	seq33430
seq8896	seq8896
seq9056	seq9056
seq9056	seq9057
seq9056	seq8958
seq9248	seq9248
seq9248	seq3556
seq9248	seq31978
seq9248	seq126271
seq9280	seq9280
seq9280	seq199009
seq9280	seq3849
seq9280	seq38409
seq9280	seq178709
seq9280	seq99862
seq9280	seq180503
seq9280	seq57208
seq9280	seq180216
seq9280	seq57181
seq9280	seq202485
seq9280	seq202494
seq9536	seq9536
seq9536	seq9633
seq9536	seq189991
seq9536	seq189929
seq9536	seq9451
seq9536	seq9496
seq19392	seq19392
seq19904	seq19904
seq19904	seq19905
seq19904	seq19846
seq19904	seq93451
seq19904	seq93452
seq19968	seq19968
seq20160	seq20160
seq20160	seq185803
seq20160	seq23887
seq20160	seq23888
seq20160	seq99894
seq20160	seq99895
seq20160	seq195769
seq20160	seq23805
seq20160	seq20151
seq20160	seq20070
seq20160	seq20104
seq20160	seq20105
seq20288	seq20288
seq20384	seq20384
